CI OLP HNZ  -- 32.607830 -116.930360
CI OLP HHZ  -- 32.607830 -116.930360
CI BTP HNZ  -- 34.682240 -118.573980
CI BTP HHZ  -- 34.682240 -118.573980
CI EML HNZ  -- 32.890830 -116.845660
CI PDR HHZ  -- 33.962730 -118.437020
CI PDR HNZ  -- 33.962730 -118.437020
CI JRC2 HHZ  -- 35.982490 -117.808850
BK JCC HNZ  -- 40.817450 -124.029550
BK JCC HHZ  -- 40.817450 -124.029550
CI SMM HNZ  -- 35.314200 -119.995810
CI DPP HNZ  -- 32.998620 -116.941530
CI DPP HHZ  -- 32.998620 -116.941530
CI SRI HNZ  -- 33.978750 -120.078860
CI SBB2 HNZ  -- 34.688440 -117.824240
CI SBB2 HHZ  -- 34.688440 -117.824240
CI SNO HNZ  -- 34.035150 -116.807780
CI SNO HHZ  -- 34.035150 -116.807780
CI SBPX HNZ  -- 34.232400 -117.234840
CI PDU HNZ  -- 34.120700 -117.638080
CI PDU HHZ  -- 34.120700 -117.638080
CI STC HHZ  -- 34.303020 -119.186760
CI STC HNZ  -- 34.303020 -119.186760
CI BLY HNZ  -- 33.750340 -114.523750
CI MSC HNZ  -- 34.038520 -116.647950
CI DJJ HHZ  -- 34.106180 -118.455050
CI DJJ HNZ  -- 34.106180 -118.455050
CI LRL HHZ  -- 35.479540 -117.682120
CI LRL HNZ  -- 35.479540 -117.682120
CI CCC HNZ  -- 35.524950 -117.364530
CI CCC HHZ  -- 35.524950 -117.364530
CI WWC HNZ  -- 33.940680 -116.408760
CI FHO HNZ  -- 34.093550 -116.935880
CI SVD HNZ  -- 34.106470 -117.098220
CI ALP HNZ  -- 34.687080 -118.299460
CI JEM HNZ  -- 33.080980 -116.597550
CI BC3 HHZ  -- 33.655150 -115.453660
CI BC3 HNZ  -- 33.655150 -115.453660
CI LPC HNZ  -- 34.314780 -117.546420
CI SBI HHZ  -- 33.480460 -119.029860
CI RXH HHZ  -- 33.183130 -115.622570
CI BOM HNZ  -- 33.364650 -115.729630
CI NSS2 HNZ  -- 33.555530 -115.945860
CI ADO HHZ  -- 34.550460 -117.433910
CI ADO HNZ  -- 34.550460 -117.433910
CI CHF HHZ  -- 34.333410 -118.025850
CI CHF HNZ  -- 34.333410 -118.025850
CI WSS HNZ  -- 34.171700 -118.649710
CI GMR HNZ  -- 34.784570 -115.659940
CI PSR HNZ  -- 34.091810 -117.807090
CI SDG HHZ  -- 32.784000 -117.138050
CI SDG HNZ  -- 32.784000 -117.138050
CI DSC HNZ  -- 35.142550 -116.103950
BK MHC HNZ  -- 37.341640 -121.642570
BK MHC HHZ  -- 37.341640 -121.642570
CI SDD HNZ  -- 33.552590 -117.661710
CI SDD HHZ  -- 33.552590 -117.661710
CI DEV HNZ  -- 33.935970 -116.577940
CI SPF HHZ  -- 34.059330 -118.646140
CI SPF HNZ  -- 34.059330 -118.646140
CI BAK HNZ  -- 35.344440 -119.104450
CI DEC HNZ  -- 34.253530 -118.333830
CI DEC HHZ  -- 34.253530 -118.333830
CI TEH HNZ  -- 35.291300 -118.420790
CI LCG HNZ  -- 34.000330 -118.377940
CI LCG HHZ  -- 34.000330 -118.377940
CI LFP HNZ  -- 34.305290 -118.488050
BK CMB HNZ  -- 38.034550 -120.386510
BK CMB HHZ  -- 38.034550 -120.386510
CI WTT2 HNZ  -- 33.948670 -118.255390
CI RIN HNZ  -- 34.281960 -118.479250
CI RIN HHZ  -- 34.281960 -118.479250
CI LGB HNZ  -- 33.975300 -118.149180
CI LGB HHZ  -- 33.975300 -118.149180
BK BDM HNZ  -- 37.953970 -121.865540
BK BDM HHZ  -- 37.953970 -121.865540
CI MPP HHZ  -- 34.888480 -119.813620
CI MPP HNZ  -- 34.888480 -119.813620
CI DLA HNZ  -- 33.848220 -118.096240
CI DLA HHZ  -- 33.848220 -118.096240
CI RSB HNZ  -- 33.973100 -117.327200
CI MSJ HNZ  -- 33.808010 -116.967890
CI EDW2 HNZ  -- 34.881100 -117.993880
CI VTV HNZ  -- 34.560650 -117.329600
CI GRA HNZ  -- 36.996080 -117.366210
CI FUR HHZ  -- 36.467190 -116.863220
CI FUR HNZ  -- 36.467030 -116.863220
CI SHO HNZ  -- 35.899530 -116.275300
CI SHO HHZ  -- 35.899600 -116.275150
CI IRM HHZ  -- 34.157380 -115.145130
CI IRM HNZ  -- 34.157380 -115.145130
CI GATR HNZ  -- 34.552660 -120.502350
CI SLA HNZ  -- 35.890950 -117.283320
CI GSA HNZ  -- 34.136770 -118.128300
CI HLL HNZ  -- 34.176430 -118.359670
CI SCI2 HNZ  -- 32.979900 -118.546970
CI PMD HNZ  -- 33.647850 -116.377690
CI PMD HHZ  -- 33.647850 -116.377690
CI DAN HNZ  -- 34.637450 -115.381150
CI SMR HHZ  -- 35.376990 -120.612470
CI SMW HNZ  -- 35.011080 -120.409970
CI CFS HNZ  -- 34.105390 -117.282870
CI PER HNZ  -- 33.861640 -117.205290
CI TOR HNZ  -- 33.575260 -116.225840
CI BCW HNZ  -- 34.940090 -119.413130
CI BBR HNZ  -- 34.262300 -116.920750
CI LJR HNZ  -- 34.807620 -118.867750
CI DAN HHZ  -- 34.637450 -115.381150
CI BOM HHZ  -- 33.364650 -115.729630
CI NSS2 HHZ  -- 33.555530 -115.945860
CI SVD HHZ  -- 34.106470 -117.098220
CI MSC HHZ  -- 34.038520 -116.647950
CI WWC HHZ  -- 33.940680 -116.408760
CI LPC HHZ  -- 34.314780 -117.546420
CI DEV HHZ  -- 33.935970 -116.577940
CI HLL HHZ  -- 34.176430 -118.359670
CI RPV HHZ  -- 33.743460 -118.404120
CI CIA HNZ  -- 33.401898 -118.415020
CI MPI HNZ  -- 34.812580 -119.145300
CI CIA HHZ  -- 33.401898 -118.415020
CI LMR2 HNZ  -- 34.934390 -117.696290
CI LBW2 HNZ  -- 33.798000 -118.088370
CI WES HNZ  -- 32.759040 -115.731610
CI JRC2 HNZ  -- 35.982490 -117.808850
CI CTD HNZ  -- 33.354860 -118.444360
CI CTD HHZ  -- 33.354860 -118.444360
NP 1865 HNZ  -- 36.883110 -121.390800
NP 1872 HNZ  -- 37.425491 -122.077710
NP 1767 HNZ  -- 38.440670 -122.704560
NP 1793 HNZ  -- 37.346535 -121.807780
