#NET STA   CHA LOC    LAT      LON       ELEV ONDATE     OFFDATE 
CE  13069 HNZ  --  33.76760 -117.84970    58 2002/10/23 3000/01/01
CE  13070 HNZ  --  33.48510 -117.66890    18 2003/05/27 3000/01/01
CE  13079 HNZ  --  33.91740 -117.44300   244 2002/10/25 3000/01/01
CE  13080 HNZ  --  33.96770 -117.25190   535 2005/03/21 3000/01/01
CE  13080 HNZ  --  33.96900 -117.25200   535 2002/04/11 2005/03/20
CE  13081 HNZ  --  33.56520 -117.26430   423 2005/03/23 3000/01/01
CE  13081 HNZ  --  33.56600 -117.26500   423 2002/10/24 2005/03/22
CE  13093 HNZ  --  33.75120 -117.01480   461 2002/10/25 3000/01/01
CE  13094 HNZ  --  33.57680 -117.13070   410 2005/03/23 3000/01/01
CE  13095 HNZ  --  33.81780 -117.13270   445 2005/03/22 3000/01/01
CE  13095 HNZ  --  33.81800 -117.31200   445 2002/10/25 2005/03/21
CE  13096 HNZ  --  33.69890 -117.26640   426 2002/10/24 3000/01/01
CE  13097 HNZ  --  33.60430 -117.27870   387 2005/03/24 3000/01/01
CE  13098 HNZ  --  33.88420 -117.51410   204 2002/11/14 3000/01/01
CE  13099 HNZ  --  33.87600 -117.59300   219 2002/10/25 2005/03/23
CE  13099 HNZ  --  33.87600 -117.59260   219 2005/03/24 3000/01/01
CE  13100 HNZ  --  33.87500 -117.63600   198 2002/10/25 2005/03/23
CE  13100 HNZ  --  33.87560 -117.63550   198 2005/03/24 3000/01/01
CE  13122 HNZ  --  33.86880 -117.70940   116 2000/01/06 3000/01/01
CE  13123 HNZ  --  33.95060 -117.44530   233 1997/09/10 3000/01/01
CE  13141 HNZ  --  33.05360 -117.24540    77 2005/05/17 3000/01/01
CE  13141 HNZ  --  33.05400 -117.24500    77 2002/11/07 2005/05/16
CE  13142 HNZ  --  33.14400 -117.16500   175 2002/11/07 2005/05/31
CE  13142 HNZ  --  33.14410 -117.16460   175 2005/05/31 3000/01/01
CE  13160 HNZ  --  33.63360 -117.90310    22 2007/05/21 3000/01/01
CE  13160 HNZ  --  33.63400 -117.90200    22 1997/09/17 2007/05/21
CE  13162 HNZ  --  33.99010 -117.71780   199 2002/06/03 3000/01/01
CE  13172 HNZ  --  33.49600 -117.14900   310 2002/01/15 2009/08/11
CE  13172 HNZ  --  33.49710 -117.15070   310 2009/08/11 3000/01/01
CE  13174 HNZ  --  33.98900 -117.89000   141 2002/02/22 2005/11/08
CE  13174 HNZ  --  33.98930 -117.88970   141 2005/11/08 3000/01/01
CE  13197 HNZ  --  33.66230 -117.99740    11 1997/09/16 3000/01/01
CE  13215 HNZ  --  33.66260 -117.90230    22 2004/03/23 3000/01/01
CE  13220 HNZ  --  33.67810 -117.75270    68 2004/03/23 3000/01/01
CE  13333 HNZ  --  33.20100 -117.33100    29 1998/10/20 3000/01/01
