M;CI_11048285;2012-01-01 05:02:00.0;1.66;33.8398;-117.7608;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.63399994;-0.6688701;-0.58719003;-0.54734004;-0.67085993;-0.6190599;-0.57921994;-0.63698995;-0.56328;-0.63101995;-0.59116995;-0.59914005;-0.59914005;-0.60311997;-0.60512006;-0.6091;-0.5951601;-0.57523;-0.5772301;-0.57921994;-0.57921994;-0.54534996;-0.5493401;-0.53936994;-0.53936994;-0.53936994;-0.54534996;-0.55133;-0.55133;-0.56129014;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;CI_11048285;2012-01-01 05:02:00.0;1.66;33.8398;-117.7608;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.9413893;2.0635295;0.7801737;0.7801737;3.58395;3.6154406;3.6154406;3.6154406;2.0769517;1.9075518;1.9075518;1.9075518;1.9075518;1.9075518;1.9075518;1.9075518;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;1.0681546;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
M;CI_11048381;2012-01-01 08:53:49.0;2.15;33.9967;-116.9002;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.72671986;-0.5792999;-0.57531;-0.4756999;-0.4159398;-0.49761987;-0.49761987;-0.44581985;-0.5155499;-0.5095699;-0.47171998;-0.43188;-0.41394997;-0.39601994;-0.39999986;-0.3322699;-0.3242998;-0.30039;-0.32030988;-0.29441;-0.28844;-0.28844;-0.30437994;-0.29441;-0.29640985;-0.29042983;-0.28444982;-0.2864499;-0.29640985;-0.30039;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;CI_11048381;2012-01-01 08:53:49.0;2.15;33.9967;-116.9002;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.63573307;0.63573307;0.8715371;0.5810032;0.5810032;0.5999474;0.5999474;0.5810032;0.5810032;0.5999474;0.45860723;0.39994305;0.33498627;0.3407602;0.3807288;0.20286243;0.31188104;0.9390438;0.9390438;0.8583236;1.0541188;1.1643882;1.1643882;1.1643882;1.1643882;1.1643882;1.1643882;1.1643882;1.2196873;1.2196873;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
M;CI_11048677;2012-01-02 01:04:20.0;1.75;34.5307;-116.238;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.033010006;-0.033010006;0.018790007;0.023769975;0.023769975;0.0147999525;-0.07086003;-0.07086003;-0.07086003;-0.08679998;-0.13461006;-0.13361001;-0.13361001;-0.13361001;-0.39358997;-0.40952992;-0.3975799;-0.40952992;-0.41750002;-0.41750002;-0.41750002;-0.41750002;-0.4135201;-0.45734;-0.4493699;-0.5011699;-0.5011699;-0.49918008;-0.49918008;-0.49918008;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;CI_11048677;2012-01-02 01:04:20.0;1.75;34.5307;-116.238;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.0284216;1.0284216;4.4769745;4.4769745;4.4769745;0.83396363;1.9259586;1.9259586;1.9259586;2.924878;2.924878;2.924878;2.924878;2.924878;1.5994685;1.5994685;1.5994685;1.5994685;1.5994685;1.5994685;1.5994685;1.5994685;1.5994685;2.316537;1.5994685;1.5994685;1.5994685;1.5994685;1.5994685;1.5994685;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
M;CI_11048717;2012-01-02 03:09:12.0;2.35;33.9513;-116.7653;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.048590183;-0.14422011;-0.1382401;-0.16413999;-0.17012;-0.1980102;-0.17609;-0.18008018;-0.18008018;-0.1840601;-0.1980102;-0.20199013;-0.18805003;-0.17012;-0.19602013;-0.19203019;-0.19402003;-0.18506002;-0.18805003;-0.22092009;-0.23387003;-0.23586011;-0.23188019;-0.23686004;-0.23586011;-0.23984003;-0.23984003;-0.23188019;-0.23188019;-0.23188019;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;CI_11048717;2012-01-02 03:09:12.0;2.35;33.9513;-116.7653;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.8897579;2.8897579;1.4116386;0.8584867;1.4894;1.4894;1.4894;1.4116585;1.4116585;1.3234833;1.3859445;1.5219544;1.4527959;1.3183546;1.5054215;1.5054215;1.5054215;1.5054215;1.5054215;1.5054215;1.3314124;1.3408024;1.3408024;1.3868015;1.3868015;1.3868015;1.3868015;1.3868015;1.3868015;1.3868015;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
M;CI_11048893;2012-01-02 11:18:05.0;2.01;35.9437;-117.6428;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.02602005;-0.02602005;-0.02602005;-0.02602005;-0.02602005;8.80003E-4;-0.029999971;-0.0021100044;-0.0021100044;-0.0041000843;-0.064860106;-0.105700016;-0.10968995;-0.10968995;-0.10968995;-0.11168003;-0.11168003;-0.11168003;-0.11168003;-0.11168003;-0.11168003;-0.11168003;-0.11666012;-0.11666012;-0.11666012;-0.11666012;-0.24914002;-0.24914002;-0.25311995;-0.25311995;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
D;CI_11048893;2012-01-02 11:18:05.0;2.01;35.9437;-117.6428;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2450385;2.2889519;2.2889519;2.2889519;2.2889519;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
